Reg      ID      X(")        Y(")          LogAge      [Fe/H]VI     logg          E(B-V)       RA(deg)    Dec(deg)       V            eV           VI           eVI   
8          5    -11.56900     16.32700      9.89222     -1.89141      0.42636      0.03721      0.48875    -15.45631     22.28547      0.00973      1.35569      0.01120
8          9    -27.34400    -21.24500      9.50391     -1.95948      0.75954      0.05807      0.48421    -15.46672     22.29939      0.02075      1.35039      0.00340
8         11    -14.15000     -4.41500      9.35793     -1.96033      0.92116      0.03807      0.48800    -15.46206     22.33956      0.03776      1.25427      0.02411
8         12    -35.99300    -75.39400      9.99944     -1.98034      0.53839      0.03768      0.48171    -15.48178     22.35441      0.01331      1.43374      0.00702
8         20    -42.25200    -24.65900     10.19787     -1.90646      0.25421      0.03807      0.47992    -15.46769     22.40530      0.00322      1.45867      0.00359
8         23     40.17000    -25.99800      9.75084     -1.96088      0.74094      0.03641      0.50367    -15.46805     22.42319      0.02441      1.33758      0.01208
8         31    -21.20400   -117.13300      9.94452     -1.88782      0.16705      0.03768      0.48596    -15.49336     22.46811      0.01790      1.52611      0.02639
8         35     20.62800    -23.08400      9.70575     -1.96579      0.78338      0.03807      0.49804    -15.46725     22.47376      0.01550      1.32918      0.01033
8         39     20.13200     -5.67100      9.45917     -1.87284      0.54859      0.03807      0.49787    -15.46242     22.49005      0.01991      1.60533      0.02830
8         51     -9.52200   -110.84500      9.44874     -1.88666      0.58890      0.03768      0.48933    -15.49161     22.52093      0.00087      1.58429      0.00363
7        52     106.42200      94.41290       9.25000      -1.95941       1.22165       0.05571       0.46169     -15.49012      22.75000       0.12000       1.16000       0.15000
8         52     29.80500    -42.20300      9.79689     -1.95753      0.77721      0.03641      0.50067    -15.47256     22.52447      0.02196      1.32420      0.00177
8         53    -33.11900     54.75300      9.40830     -1.95830      1.02206      0.03721      0.48254    -15.44561     22.52908      0.01831      1.21106      0.01808
8         56    -46.17100     39.89600      9.59035     -1.87239      0.46766      0.03721      0.47879    -15.44975     22.53410      0.00784      1.46667      0.00234
8         77    -39.48700     68.84900      9.85367     -1.89594      0.49969      0.03721      0.48071    -15.44169     22.58510      0.00876      1.56979      0.00204
8         83     40.29600    -23.27500      9.92563     -1.94868      0.76692      0.03641      0.50371    -15.46731     22.60889      0.00737      1.32776      0.00630
7       100      96.51780      47.37310       9.65000      -1.89649       0.48418       0.03800       0.46444     -15.47705      22.44000       0.06000       1.41000       0.07211
8        101      4.64400    -25.40500      9.89962     -1.89965      0.52625      0.03807      0.49342    -15.46789     22.66419      0.00226      1.50069      0.01495
8        119    -40.34000     42.95200      9.69904     -1.96441      0.97881      0.03721      0.48046    -15.44889     22.71936      0.01694      1.23218      0.00224
8        128    -86.09300   -102.85800     10.14946     -1.90225      0.46011      0.03744      0.46725    -15.48942     22.74619      0.00324      1.41025      0.00421
8        133    -46.22100     25.68800      9.94609     -1.97686      0.84005      0.03721      0.47875    -15.45369     22.75258      0.00423      1.31328      0.00728
8        134    -20.67800     21.88600     10.05100     -1.98309      0.80559      0.03721      0.48613    -15.45475     22.75655      0.01542      1.30713      0.00129
8        137    -27.41400     25.54800     10.15168     -1.98597      0.76483      0.03721      0.48417    -15.45375     22.76139      0.02595      1.31969      0.00527
8        148     36.78400      2.08300     10.13910     -1.88818      0.26226      0.03641      0.50267    -15.46025     22.80254      0.01164      1.51021      0.00631
8        149    -16.52100    -84.79400     10.14895     -1.90556      0.48875      0.03768      0.48733    -15.48439     22.80474      0.00255      1.40874      0.01222
8        158     27.24000    -30.53300      9.75376     -1.89957      0.48727      0.03641      0.49992    -15.46931     22.84668      0.00387      1.49148      0.01837
8        160     40.60300     -3.47200      6.40000     -1.97761      4.41711      1.60820      0.50379    -15.46181     22.85110      0.00951      1.34148      0.01613
7       167      89.62700      62.87440       9.60000      -1.96621       1.05350       0.03800       0.46635     -15.48135      22.79000       0.10000       1.22000       0.12207
8        180    -53.64300   -102.58800      9.79909     -1.97110      1.00112      0.07744      0.47663    -15.48933     22.95982      0.00134      1.27345      0.01138
7       183      87.89080     -53.10650       9.90000      -1.97538       0.92958       0.06641       0.46684     -15.44914      22.90000       0.09000       1.29000       0.10817
7       200      86.49400     -36.50760      10.15000      -1.90471       0.47394       0.03800       0.46722     -15.45375      22.78000       0.13000       1.41000       0.15264
7       215      85.86360     -13.48060       9.05000      -1.95616       1.30951       0.03800       0.46740     -15.46014      22.62000       0.10000       1.10000       0.13454
7       247      83.82380     -64.79170       9.90000      -1.97500       0.85530       0.05641       0.46797     -15.44589      22.77000       0.09000       1.31000       0.10817
7       273      82.44540     117.09500      10.15000      -1.99517       0.93040       0.03800       0.46835     -15.49642      22.97000       0.10000       1.24000       0.12806
7       410      75.74330    -102.83900      10.10000      -1.90199       0.30541       0.03800       0.47021     -15.43532      22.98000       0.17000       1.54000       0.18385
7       424      75.34300     -21.70150       9.40000      -1.89063      -0.15306       0.03800       0.47032     -15.45786      22.40000       0.09000       1.95000       0.09849
7       488      73.12680     -87.21360       9.85000      -1.97338       0.78338       0.03800       0.47094     -15.43966      22.56000       0.09000       1.32000       0.10817
7       491      73.06090     110.24500      10.05000      -1.90180       0.33596       0.03800       0.47096     -15.49451      22.86000       0.09000       1.54000       0.10296
7       720      66.58060     129.95599       9.50000      -1.96374       0.99290       0.03800       0.47276     -15.49999      22.61000       0.07000       1.24000       0.09220
7       731      66.17120     -28.83850       6.40000      -2.01430       4.21514       1.60820       0.47287     -15.45588      22.45000       0.09000       1.27000       0.10296
