#ID  Vmag   (Vmag-Imag)   e_Vmag   e_(Vmag-Imag)   Mini
10      25.5225 0.5700  0.0105  0.0192  0.8768  
11      25.3438 0.9666  0.0094  0.0171  0.8741  
12      24.8024 0.9089  0.0073  0.0129  0.8778  
13      24.5805 1.0064  0.0067  0.0115  0.8747  
14      25.5322 0.5252  0.0105  0.0193  0.8764  
15      22.7308 1.2971  0.0046  0.0065  0.8754  
16      24.3462 1.0411  0.0061  0.0103  0.8749  
17      25.5478 0.6162  0.0105  0.0192  0.8768  
18      25.5555 0.5629  0.0105  0.0193  0.8763  
19      25.0584 0.9646  0.0082  0.0147  0.8744  
110     25.5604 0.5686  0.0106  0.0194  0.8761  
111     25.5841 0.6128  0.0107  0.0196  0.8758  
112     24.2948 1.0242  0.0061  0.0102  0.8749  
113     23.9451 1.0519  0.0055  0.0089  0.8751  
114     24.5005 1.0233  0.0065  0.0111  0.8748  
115     25.4404 0.9840  0.0098  0.0180  0.8741  
116     25.5773 0.5936  0.0108  0.0198  0.8757  
117     25.5532 0.5588  0.0105  0.0193  0.8764  
118     24.2780 1.0057  0.0060  0.0101  0.8780  
119     25.5912 0.5431  0.0109  0.0201  0.8754  
120     25.4290 0.9631  0.0098  0.0180  0.8741  
121     24.3986 1.0267  0.0062  0.0106  0.8749  
122     25.5532 0.6329  0.0105  0.0192  0.8769  
123     24.1560 1.0068  0.0058  0.0096  0.8780  
124     25.5469 0.5442  0.0106  0.0194  0.8762  
125     25.8335 0.9314  0.0126  0.0232  0.8736  
126     25.0793 0.9640  0.0082  0.0148  0.8744  
127     25.5523 0.5928  0.0105  0.0192  0.8767  
128     23.5965 1.0745  0.0051  0.0079  0.8780  
129     25.5542 0.5574  0.0106  0.0195  0.8761  
130     25.3164 0.9564  0.0093  0.0169  0.8742  
131     25.5354 0.5244  0.0106  0.0194  0.8763  
132     25.5502 0.5756  0.0105  0.0192  0.8766  
133     25.5678 0.5828  0.0106  0.0195  0.8761  
134     25.5396 0.5719  0.0105  0.0192  0.8767  
135     23.6200 1.0967  0.0051  0.0080  0.8752  
136     25.1093 0.9798  0.0083  0.0150  0.8744  
137     24.5846 1.0135  0.0067  0.0115  0.8747  
138     25.4723 0.7704  0.0101  0.0185  0.8777  
139     22.7387 1.3082  0.0046  0.0065  0.8754  
140     24.6985 0.9971  0.0070  0.0122  0.8746  
141     25.5617 0.5812  0.0105  0.0193  0.8765  
142     25.5489 0.5919  0.0105  0.0192  0.8767  
143     25.5586 0.5659  0.0106  0.0195  0.8761  
144     25.3503 0.8122  0.0095  0.0173  0.8778  
