#ID  Vmag   (Vmag-Imag)   e_Vmag   e_(Vmag-Imag)   Mini
10      25.5556 0.4393  0.0106  0.0195  0.7605  
11      24.9399 0.9772  0.0077  0.0138  0.7590  
12      25.6017 0.3017  0.0110  0.0202  0.7598  
13      23.5532 1.0673  0.0051  0.0078  0.7613  
14      25.2268 0.9779  0.0088  0.0160  0.7589  
15      25.4363 0.9636  0.0099  0.0181  0.7588  
16      25.1475 0.9905  0.0085  0.0153  0.7589  
17      24.3085 1.0304  0.0061  0.0102  0.7593  
18      25.4553 0.7464  0.0100  0.0183  0.7610  
19      26.3721 0.7980  0.0193  0.0348  0.7578  
110     25.6988 0.9340  0.0116  0.0213  0.7586  
111     26.0744 0.9141  0.0149  0.0273  0.7582  
112     25.6161 0.3032  0.0111  0.0204  0.7597  
113     25.5547 0.4023  0.0106  0.0195  0.7604  
114     25.5387 0.6243  0.0105  0.0193  0.7608  
115     24.9590 0.9862  0.0078  0.0139  0.7590  
116     25.4703 0.9717  0.0100  0.0184  0.7587  
117     24.6212 0.6436  0.0068  0.0117  0.7596  
118     25.1398 0.9505  0.0085  0.0154  0.7589  
119     25.5753 0.3327  0.0108  0.0198  0.7602  
120     24.0096 1.0016  0.0056  0.0091  0.7613  
121     24.8078 0.9803  0.0073  0.0129  0.7591  
122     25.0956 1.0012  0.0082  0.0148  0.7589  
123     25.5506 0.3933  0.0106  0.0195  0.7604  
124     25.6265 0.9626  0.0110  0.0202  0.7586  
125     25.4662 0.9641  0.0100  0.0184  0.7587  
126     25.6957 0.9285  0.0116  0.0213  0.7586  
127     25.6276 0.3474  0.0110  0.0202  0.7598  
128     25.5901 0.2945  0.0109  0.0201  0.7600  
129     25.1029 0.9883  0.0083  0.0149  0.7589  
130     24.6685 0.9308  0.0069  0.0120  0.7612  
131     24.4409 1.0152  0.0064  0.0108  0.7592  
132     24.6270 0.6756  0.0067  0.0117  0.7596  
133     25.5859 0.3220  0.0108  0.0199  0.7601  
134     25.2954 0.8588  0.0091  0.0165  0.7611  
135     25.5896 0.3371  0.0108  0.0199  0.7602  
136     25.5811 0.3661  0.0107  0.0197  0.7603  
137     22.7342 1.3412  0.0046  0.0065  0.7595  
138     25.5410 0.5875  0.0105  0.0193  0.7607  
139     24.0980 0.9839  0.0057  0.0094  0.7613  
140     24.9834 0.9794  0.0079  0.0141  0.7590  
141     25.4907 0.7238  0.0102  0.0187  0.7610  
142     24.7374 0.9992  0.0071  0.0124  0.7591  
143     25.5494 0.5904  0.0105  0.0193  0.7607  
144     25.7766 0.9415  0.0121  0.0223  0.7585  
145     23.5630 1.1153  0.0051  0.0079  0.7594  
146     24.7334 0.9922  0.0071  0.0124  0.7591  
147     25.5623 0.4120  0.0106  0.0195  0.7604  
148     25.0579 0.9852  0.0081  0.0146  0.7590  
149     25.7625 0.9156  0.0121  0.0223  0.7585  
150     25.6097 0.3220  0.0110  0.0201  0.7599  
151     25.1759 0.9637  0.0086  0.0156  0.7589  
152     25.6159 0.3255  0.0110  0.0202  0.7598  
153     25.4965 0.7154  0.0103  0.0188  0.7610  
154     25.1649 0.9698  0.0086  0.0155  0.7589  
155     25.6056 0.9511  0.0109  0.0200  0.7586  
156     25.5136 0.6963  0.0104  0.0190  0.7609  
157     25.5496 0.5472  0.0105  0.0193  0.7606  
158     25.1115 0.9516  0.0084  0.0152  0.7589  
159     24.7283 1.0005  0.0070  0.0123  0.7591  
160     23.6197 1.1237  0.0051  0.0080  0.7594  
161     24.1840 1.0527  0.0059  0.0097  0.7593  
162     25.5532 0.4888  0.0106  0.0194  0.7605  
163     25.5671 0.3771  0.0107  0.0196  0.7603  
164     25.5415 0.5589  0.0105  0.0193  0.7607  
165     24.8774 0.9866  0.0075  0.0133  0.7590  
166     24.6004 0.6295  0.0067  0.0117  0.7596  
